iter	Logloss
0	0.6519791899
1	0.6265419694
2	0.5995426152
3	0.5799022408
4	0.5654022917
5	0.5526528146
6	0.5291524474
7	0.5122899347
8	0.5001309398
9	0.4913120009
10	0.4823300095
11	0.4754500259
12	0.4702799462
13	0.4649475399
14	0.4608790926
15	0.4577621502
16	0.4559736156
17	0.4542808256
18	0.4517154286
19	0.4494942364
20	0.4477982142
21	0.4463739615
22	0.4450182955
23	0.4426682113
24	0.4413651852
25	0.439231851
26	0.4375794427
27	0.4362909771
28	0.4348606948
29	0.4330789496
30	0.431673264
31	0.4309316316
32	0.4299351707
33	0.4290422345
34	0.4279952521
35	0.4274615806
36	0.4270109115
37	0.4263585215
38	0.4256260196
39	0.4251396928
40	0.4245396651
41	0.4242082105
42	0.4237626184
43	0.4232198207
44	0.4228548582
45	0.4226595924
46	0.4221646562
47	0.4216944813
48	0.4212232622
49	0.4209377293
50	0.4207558593
51	0.4195560463
52	0.4193566622
53	0.4190855853
54	0.4183036902
55	0.4175980703
56	0.4174462191
57	0.4172540568
58	0.4169317031
59	0.416590433
60	0.4163068992
61	0.4158226569
62	0.4155665566
63	0.4151958306
64	0.4149566238
65	0.4146782669
66	0.4145954119
67	0.4144223057
68	0.4142404059
69	0.413884048
70	0.4138838582
71	0.4136672823
72	0.4135082516
73	0.413301249
74	0.413053332
75	0.4128038027
76	0.4125471002
77	0.4124216919
78	0.4122424813
79	0.4120276666
80	0.4118034936
81	0.4115763929
82	0.4114056712
83	0.4112164508
84	0.4110457123
85	0.4108848583
86	0.4107374283
87	0.4106251624
88	0.4104745344
89	0.4103352139
90	0.4102392722
91	0.4100888317
92	0.4099710628
93	0.4098227081
94	0.409703629
95	0.4095212143
96	0.4094149834
97	0.4093305302
98	0.4091958048
99	0.4090727774
100	0.4089591125
101	0.4088761116
102	0.4087817151
103	0.4086894406
104	0.4085852511
105	0.4084997071
106	0.4083824268
107	0.4082694682
108	0.4081674923
109	0.4081673373
110	0.408167197
111	0.4081634385
112	0.408093948
113	0.4080200241
114	0.4078967216
115	0.4078012329
116	0.4077141531
117	0.4076356626
118	0.4076356329
119	0.4075239443
120	0.4074743531
121	0.4073779344
122	0.407369236
123	0.4072684828
124	0.4071776218
125	0.4070975764
126	0.407088517
127	0.407020941
128	0.4070157924
129	0.4069946341
130	0.4067218659
131	0.4067142177
132	0.4066499574
133	0.406584863
134	0.4065798811
135	0.4065255752
136	0.4064484222
137	0.4063997541
138	0.4063915788
139	0.4063906975
140	0.406295206
141	0.4062786416
142	0.4061671474
143	0.4061661796
144	0.4061250382
145	0.4061211833
146	0.4060520596
147	0.4060013236
148	0.4059325546
149	0.4058469897
150	0.405781405
151	0.4057750028
152	0.4057501585
153	0.4057379598
154	0.4056530924
155	0.4055929505
156	0.4055239492
157	0.4054529997
158	0.405393446
159	0.4053445027
160	0.4052722628
161	0.4052144198
162	0.4051946118
163	0.4051856657
164	0.4051359631
165	0.4050688213
166	0.4049628128
167	0.4049247021
168	0.4048589168
169	0.4048539607
170	0.4047791571
171	0.4047769641
172	0.4047750683
173	0.4047430913
174	0.4047330965
175	0.4046860732
176	0.4046312887
177	0.404619146
178	0.4046137768
179	0.4046118566
180	0.4045835531
181	0.4045789348
182	0.404575303
183	0.4045319547
184	0.404530682
185	0.4044829463
186	0.4044432959
187	0.4044432003
188	0.4043888248
189	0.4043863443
190	0.4042092796
191	0.4041632077
192	0.4041219026
193	0.4041127925
194	0.4041071291
195	0.4040555717
196	0.4040229005
197	0.4039698134
198	0.4039445838
199	0.4039055161
200	0.4039018559
201	0.4038679662
202	0.4038204152
203	0.4037544016
204	0.4037229109
205	0.4037215293
206	0.4036621417
207	0.4036620855
208	0.4036563057
209	0.4036146006
210	0.4035773104
211	0.4035261849
212	0.4034657258
213	0.4034645198
214	0.403441379
215	0.4033914508
216	0.4033900099
217	0.4033514192
218	0.4033231442
219	0.4032862079
220	0.4032845535
221	0.4032165857
222	0.4031856214
223	0.4031840526
224	0.4031668505
225	0.4031483772
226	0.4030769917
227	0.4030582422
228	0.4030566571
229	0.402995338
230	0.4029805356
231	0.4029687327
232	0.4029336804
233	0.4028952002
234	0.4028911101
235	0.4028886499
236	0.4028861968
237	0.402840499
238	0.4028269314
239	0.4027744556
240	0.4027488658
241	0.4027445133
242	0.4027432827
243	0.4027357991
244	0.4027081976
245	0.4026806363
246	0.4026543069
247	0.4026507332
248	0.4026472534
249	0.4026449118
250	0.4026083325
251	0.4025655208
252	0.4025510281
253	0.4025267403
254	0.4025248384
255	0.4025016852
256	0.4025004645
257	0.4024573124
258	0.4024312613
259	0.402430262
260	0.4024022872
261	0.4023774982
262	0.4023634681
263	0.4023136356
264	0.402280323
265	0.4022545276
266	0.4022326988
267	0.4022183866
268	0.402217062
269	0.4022164958
270	0.4022127343
271	0.4021733257
272	0.4021709563
273	0.402138716
274	0.4021048913
275	0.4020982611
276	0.402073196
277	0.4020675377
278	0.4020604093
279	0.4020265749
280	0.4020002796
281	0.4019590863
282	0.4019007675
283	0.4018727871
284	0.4018603985
285	0.4018434049
286	0.401793044
287	0.4017582972
288	0.4016383881
289	0.4016368434
290	0.4016358557
291	0.4016347346
292	0.4016260526
293	0.4015887945
294	0.4015867606
295	0.4015605416
296	0.4015388816
297	0.4015388815
298	0.4015387847
299	0.4015249249
300	0.4015240441
301	0.4015171032
302	0.4014984384
303	0.4014758806
304	0.4014572317
305	0.4014568613
306	0.4014436826
307	0.401439175
308	0.4014220383
309	0.4013965639
310	0.4013649459
311	0.4013390367
312	0.4013153196
313	0.401295017
314	0.4012666953
315	0.4012211475
316	0.4012181011
317	0.4012070939
318	0.4012069677
319	0.4012065396
320	0.4011791536
321	0.4011790276
322	0.4011575733
323	0.4011446415
324	0.4011344088
325	0.4011180488
326	0.4010991904
327	0.4010969013
328	0.4010937967
329	0.4010738435
330	0.4010515949
331	0.401051418
332	0.4010285043
333	0.4010196624
334	0.4010028258
