iter	Passed	Remaining
0	505	201626
1	509	101302
2	528	69937
3	530	52533
4	533	42156
5	535	35164
6	538	30217
7	543	26625
8	545	23684
9	546	21325
10	549	19429
11	551	17816
12	552	16450
13	554	15283
14	555	14266
15	557	13377
16	558	12592
17	561	11919
18	563	11292
19	564	10729
20	566	10218
21	568	9767
22	570	9344
23	571	8960
24	573	8602
25	575	8273
26	577	7983
27	579	7699
28	581	7440
29	586	7232
30	588	7000
31	589	6780
32	591	6578
33	593	6384
34	606	6324
35	608	6153
36	611	6000
37	613	5845
38	615	5696
39	618	5564
40	620	5432
41	622	5302
42	623	5176
43	625	5057
44	627	4947
45	628	4838
46	630	4733
47	632	4637
48	634	4541
49	635	4449
50	637	4360
51	638	4274
52	640	4191
53	642	4118
54	644	4041
55	646	3968
56	647	3896
57	650	3834
58	654	3781
59	656	3722
60	659	3666
61	661	3608
62	663	3549
63	666	3496
64	668	3443
65	670	3393
66	672	3343
67	674	3293
68	676	3245
69	678	3196
70	681	3158
71	683	3112
72	684	3067
73	686	3023
74	687	2981
75	689	2939
76	691	2901
77	693	2862
78	694	2823
79	696	2785
80	697	2748
81	699	2713
82	701	2678
83	703	2644
84	704	2611
85	706	2578
86	707	2546
87	709	2515
88	713	2493
89	715	2465
90	717	2437
91	719	2408
92	721	2380
93	722	2353
94	724	2325
95	726	2299
96	728	2274
97	729	2248
98	731	2223
99	732	2198
100	734	2174
101	738	2158
102	741	2136
103	744	2120
104	746	2097
105	748	2076
106	750	2056
107	752	2035
108	756	2019
109	758	1999
110	763	1987
111	765	1968
112	768	1953
113	773	1939
114	775	1922
115	777	1904
116	779	1885
117	781	1868
118	784	1853
119	786	1836
120	789	1819
121	791	1803
122	793	1787
123	796	1772
124	798	1757
125	801	1743
126	803	1727
127	805	1711
128	807	1696
129	809	1682
130	811	1667
131	813	1652
132	815	1636
133	816	1621
134	818	1606
135	820	1592
136	821	1577
137	823	1563
138	825	1549
139	826	1535
140	829	1522
141	832	1512
142	833	1498
143	835	1485
144	838	1474
145	840	1462
146	842	1449
147	843	1436
148	845	1424
149	848	1413
150	850	1403
151	853	1391
152	855	1380
153	857	1369
154	858	1357
155	860	1345
156	864	1337
157	865	1326
158	867	1315
159	869	1304
160	871	1293
161	873	1283
162	874	1272
163	876	1261
164	878	1250
165	879	1240
166	881	1229
167	884	1221
168	886	1211
169	888	1201
170	890	1192
171	892	1183
172	895	1174
173	896	1165
174	898	1155
175	900	1146
176	903	1137
177	904	1128
178	906	1119
179	908	1110
180	910	1101
181	912	1092
182	915	1085
183	916	1076
184	918	1067
185	921	1060
186	923	1052
187	925	1043
188	926	1034
189	928	1026
190	931	1018
191	933	1011
192	934	1002
193	936	994
194	938	986
195	940	978
196	941	970
197	944	963
198	946	956
199	948	948
200	951	941
201	953	934
202	954	926
203	956	919
204	958	911
205	960	904
206	961	896
207	963	889
208	965	882
209	967	875
210	969	868
211	970	860
212	973	854
213	975	847
214	977	840
215	978	833
216	980	827
217	983	821
218	986	815
219	988	808
220	989	801
221	991	795
222	993	788
223	995	782
224	997	775
225	998	768
226	1001	763
227	1003	756
228	1004	750
229	1006	743
230	1008	737
231	1010	731
232	1012	725
233	1015	720
234	1017	714
235	1019	708
236	1021	702
237	1023	696
238	1025	690
239	1027	684
240	1028	678
241	1030	672
242	1032	667
243	1034	661
244	1036	655
245	1037	649
246	1039	643
247	1041	638
248	1043	632
249	1046	627
250	1047	622
251	1049	616
252	1051	611
253	1053	605
254	1054	599
255	1057	594
256	1058	589
257	1060	583
258	1062	578
259	1063	572
260	1066	567
261	1068	562
262	1069	557
263	1071	551
264	1072	546
265	1075	541
266	1077	536
267	1079	531
268	1083	527
269	1086	523
270	1090	518
271	1091	513
272	1094	508
273	1098	504
274	1100	500
275	1102	495
276	1104	490
277	1107	486
278	1109	481
279	1111	476
280	1112	471
281	1114	466
282	1116	461
283	1117	456
284	1119	451
285	1120	446
286	1123	442
287	1124	437
288	1127	433
289	1129	428
290	1131	423
291	1132	419
292	1136	415
293	1139	410
294	1140	406
295	1143	401
296	1144	397
297	1146	392
298	1148	387
299	1149	383
300	1152	378
301	1154	374
302	1155	370
303	1157	365
304	1158	360
305	1162	357
306	1164	352
307	1166	348
308	1167	343
309	1169	339
310	1171	335
311	1173	330
312	1174	326
313	1176	322
314	1177	317
315	1181	313
316	1183	309
317	1184	305
318	1187	301
319	1190	297
320	1191	293
321	1193	289
322	1194	284
323	1196	280
324	1198	276
325	1200	272
326	1203	268
327	1204	264
328	1206	260
329	1208	256
330	1210	252
331	1212	248
332	1213	244
333	1215	240
334	1217	236
335	1219	232
336	1222	228
337	1224	224
338	1226	220
339	1227	216
340	1229	212
341	1231	208
342	1232	204
343	1236	201
344	1237	197
345	1239	193
346	1240	189
347	1244	185
348	1249	182
349	1251	178
350	1253	174
351	1255	171
352	1256	167
353	1259	163
354	1261	159
355	1262	156
356	1264	152
357	1267	148
358	1269	144
359	1271	141
360	1272	137
361	1276	133
362	1277	130
363	1279	126
364	1281	122
365	1285	119
366	1288	115
367	1291	112
368	1296	108
369	1298	105
370	1302	101
371	1304	98
372	1306	94
373	1309	91
374	1311	87
375	1315	83
376	1317	80
377	1319	76
378	1323	73
379	1324	69
380	1326	66
381	1329	62
382	1331	59
383	1333	55
384	1334	52
385	1338	48
386	1339	45
387	1341	41
388	1343	37
389	1348	34
390	1350	31
391	1352	27
392	1354	24
393	1356	20
394	1358	17
395	1360	13
396	1364	10
397	1367	6
398	1369	3
399	1375	0
